Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"Puka Nacua","Wr","LAR","1.5","146","No","No","Yes","11550","2025 Core","Active","2027-02-08"
"Juwan Johnson","Te","NO","1.5","92","No","No","Yes","5550","2025 Core","Active","2027-02-08"
"C.J. Stroud","Qb","HOU","1.5","99","No","No","Yes","7800","2025 Core","Active","2027-02-08"
"C.J. Stroud","Qb","HOU","1.3","86","No","No","Yes","6760","2025 Core","Active","2027-02-08"
"RJ Harvey","Rb","DEN","1.3","84","No","No","Yes","7020","2025 Core","Active","2027-02-08"
"Chase Brown","Rb","CIN","1.4","123","No","No","Yes","9940","2025 Core","Active","2027-02-08"
"Hunter Henry","Te","NE","1.4","80","No","No","Yes","5320","2025 Core","Active","2027-02-08"
"Breece Hall","Rb","NYJ","1.2","96","No","No","No","7440","2025 Core RB","Active","2027-02-08"
"Kyren Williams","Rb","LAR","1.4","120","No","No","No","8680","2025 Core RB","Active","2027-02-08"
"Tyler Warren","Te","IND","1.5","124","No","No","No","7350","2025 Core","Active","2027-02-08"
"Keon Coleman","Wr","BUF","1.2","67","No","No","No","4800","2025 Core WR","Active","2027-02-08"
"George Pickens","Wr","DAL","1.2","104","No","No","No","7680","2025 Core WR","Active","2027-02-08"
"Brock Purdy","Qb","SF","1.1","87","No","No","Yes","6270","2025 Core","Active","2027-02-08"
"Terry McLaurin","Wr","WAS","1.2","94","No","No","Yes","6840","2025 Core","Active","2027-02-08"
"Christian McCaffrey","Rb","SF","1.3","129","No","No","Yes","9750","2025 Core","Active","2027-02-08"
"Jalen Hurts","Qb","PHI","1","92","No","No","Yes","6600","2025 Core","Active","2027-02-08"
"Marvin Harrison Jr.","Wr","ARI","1.4","106","No","No","Yes","7000","2025 Core","Active","2027-02-08"
"Tony Pollard","Rb","TEN","1.3","95","No","No","Yes","7280","2025 Core","Active","2027-02-08"
"CeeDee Lamb","Wr","DAL","1.2","108","No","No","Yes","8880","2025 Core","Active","2027-02-08"
"DeVonta Smith","Wr","PHI","1.2","96","No","No","Yes","7920","2025 Core","Active","2027-02-08"
"Brock Purdy","Qb","SF","1.5","118","No","No","Yes","8550","2025 Core","Active","2027-02-08"
"James Cook III","Rb","BUF","1.4","123","No","No","Yes","10080","2025 Core","Active","2027-02-08"
